apn,neighborhood,time_to_construction,units
7148040,Oceanview/Merced/Ingleside,2105.0,28.0
7173011,Outer Mission,704.0,1.0
7282005,Lakeshore,438.0,722.0
7295014,Lakeshore,269.0,0.0
7331003,Lakeshore,1737.0,210.0
7331005,Lakeshore,1141.0,164.0
7332003,Lakeshore,317.0,2.0
7332005,Lakeshore,652.0,11.0
74001,North Beach,0.0,0.0
7520034,Glen Park,390.0,1.0
7535102,Noe Valley,1104.0,4.0
754012,Western Addition,791.0,4.0
7551017,Glen Park,395.0,1.0
7552003,Glen Park,561.0,1.0
7554007,Glen Park,0.0,1.0
757025,Western Addition,700.0,98.0
776035,Western Addition,519.0,3.0
785029,Hayes Valley,498.0,69.0
794028,Hayes Valley,428.0,139.0
797019,Hayes Valley,0.0,1.0
808039,Hayes Valley,338.0,41.0
811002,Tenderloin,423.0,162.0
818020,Hayes Valley,1009.0,2.0
818048,Hayes Valley,134.0,2.0
818049,Hayes Valley,134.0,2.0
819011,Hayes Valley,770.0,3.0
829023,Hayes Valley,425.0,1.0
831023,Hayes Valley,204.0,182.0
837003,Hayes Valley,1989.0,35.0
857001,Hayes Valley,336.0,450.0
8704004,Mission Bay,379.0,129.0
8709004,Mission Bay,2718.0,0.0
8710007,Mission Bay,834.0,263.0
8711014,Mission Bay,1199.0,150.0
8711023,Mission Bay,645.0,315.0
8711031,Mission Bay,58.0,200.0
8713001,Mission Bay,733.0,273.0
8715004,Mission Bay,178.0,198.0
8719002,Mission Bay,510.0,
8724001,Potrero Hill,0.0,
8727005,Potrero Hill,544.0,0.0
926008,Marina,351.0,2.0
